#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,abook,"is an offline addressbook usable by neomutt."
,adb,"is a command-line tool that can be used to install, uninstall and debug apps, transfer files and access the device's shell."
,arandr,"is a UI for screen adjustment."
,atool,"manages and gives information about archives."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,chromium,"is a browser."
,discord,"is a proprietary, cross-platform, all-in-one voice and text chat application."
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,ffmpeg,"can record and splice video and audio on the command line."
,fzf,"is a fuzzy finder tool."
,gnome-disk-utility,"is a graphical front-end for udisks"
,gnome-keyring,"serves as the system keyring."
,gparted,"is a program for creating and manipulating partition tables."
,highlight,"can highlight code output."
,htop,"is an interactive system-monitor process-viewer and process-manager."
,isync,"downloads and syncs the mail."
,libnotify,"allows desktop notifications."
,lynx,"is a terminal browser."
,maim,"can take quick screenshots at your request."
,man-db,"lets you read man pages of programs."
,mediainfo,"shows audio and video information."
,mesa,"is an open source software implementation of OpenGL, Vulkan, and other graphics API specifications"
,mlocate,"is a Unix utility which serves to find files on filesystems."
,mpc,"is a terminal interface for mpd."
,mpd,"is a lightweight music daemon."
,mpv,"is the patrician's choice video player."
,msmtp,"sends the email."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,neomutt,"is an email client."
,neovim,"a tidier vim with some useful features"
,newsboat,"is a terminal RSS client."
,noto-fonts,"is a font."
,noto-fonts-cjk,"is a font."
,noto-fonts-emoji,"is a font."
,noto-fonts-extra,"is a font."
,ntfs-3g,"allows accessing NTFS partitions."
,pamixer,"is a command-line audio interface."
,pass,"safely encrypts passwords."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,ranger,"is an extensive terminal file manager that everyone likes."
,rsync," is a utility for efficiently transferring and synchronizing files between a computer and an external hard drive and across networked computers"
,slock,"allows you to lock your computer, and quickly unlock with your password."
,speedtest-cli,"is a command line interface for testing internet bandwidth using speedtest.net."
,sxiv,"is a minimalist image viewer."
,telegram-desktop,"is a messaging app."
,tigervnc,"is open source Virtual Network Computing server and client software."
,tldr,"is a community effort to simplify the beloved man pages with practical examples."
,tlp,"is a command saving laptop battery power."
,ttf-linux-libertine,"provides the sans and serif fonts for auto-rice."
,ueberzug,"is a command line util which allows to draw images on terminals by using child windows."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of auto-rice."
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,xdotool,"provides window action utilities on the command line."
,xf86-video-intel,"intel HD driver"
,xorg-server,"is the graphical server."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xwininfo,"allows querying information about windows."
,xwallpaper,"sets the wallpaper."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in auto-rice."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,simple-mtpfs,"enables the mounting of cell phones."
A,task-spooler,"queues commands or files for download."
A,ufetch-git,"is a tiny system info for Unix-like operating systems"
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
G,https://github.com/hamidout/dwm.git,"is the window manager."
G,https://github.com/hamidout/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/mutt-wizard,"is a system for automatically configuring mutt and isync with a simple interface and safe passwords"
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
